m0_x,m0_y,m0_z,m1_x,m1_y,m1_z,m2_x,m2_y,m2_z
-100.0116,91.1431,752.9248,-21.5227,43.6402,798.5222,28.7441,36.9460,781.1773
-100.0052,91.1414,752.9230,-21.5650,43.6209,798.4817,28.7176,36.9073,781.1424
-100.0013,91.1395,752.9057,-21.5664,43.5959,798.4814,28.7268,36.8851,781.1340
-100.0010,91.1415,752.8799,-21.5767,43.5680,798.4543,28.7733,36.8757,781.1505
-100.0066,91.1418,752.8619,-21.5472,43.5476,798.4399,28.8128,36.8505,781.1408
-100.0170,91.1391,752.8280,-21.5241,43.5355,798.4130,28.8511,36.8302,781.1052
-100.0390,91.1227,752.8142,-21.5049,43.5219,798.4169,28.8974,36.8151,781.1138
-100.0316,91.1068,752.8466,-21.5375,43.4921,798.4181,28.9067,36.8005,781.1164
-100.0040,91.0934,752.8944,-21.5753,43.4645,798.4106,28.8806,36.7840,781.1133
-99.9800,91.0930,752.9307,-21.5741,43.4425,798.4432,28.8671,36.7741,781.1552
-99.9560,91.0975,752.9617,-21.5837,43.4235,798.4658,28.8618,36.7441,781.1749
-99.9704,91.0907,752.9427,-21.6059,43.4073,798.4820,28.8651,36.7165,781.2283
-99.9838,91.0820,752.9310,-21.6010,43.4085,798.5312,28.8226,36.6970,781.2172
-99.9809,91.0873,752.9334,-21.5614,43.4061,798.6401,28.7798,36.6842,781.1915
-99.9784,91.0926,752.9304,-21.5310,43.3958,798.7717,28.7299,36.6578,781.1469
-99.9761,91.0987,752.9216,-21.5033,43.3829,798.8972,28.6654,36.6106,781.1009
-99.9730,91.1188,752.9049,-21.4733,43.3731,799.0373,28.6263,36.5830,781.0744
-99.9694,91.1396,752.8780,-21.4351,43.3733,799.1805,28.6061,36.5705,781.0628
-99.9673,91.1585,752.8571,-21.4317,43.3746,799.2595,28.6012,36.5710,781.0641
-99.9680,91.1562,752.8583,-21.4125,43.3930,799.3502,28.6109,36.5846,781.0783
-100.0123,91.1404,752.8125,-21.4234,43.4133,799.3629,28.6368,36.6135,781.1077
-100.0339,91.1325,752.7749,-21.4157,43.4443,799.3549,28.6837,36.6374,781.1548
-100.0414,91.1213,752.7812,-21.3888,43.4767,799.3352,28.7064,36.6652,781.1781
-100.0311,91.1149,752.7904,-21.3886,43.5104,799.2449,28.7086,36.7016,781.1814
-100.0065,91.1084,752.8462,-21.4183,43.5331,799.1837,28.6916,36.7183,781.1630
-99.9874,91.1008,752.8812,-21.4333,43.5348,799.2108,28.6515,36.7524,781.1219
-99.9818,91.1011,752.8942,-21.4318,43.5578,799.2016,28.6301,36.7847,781.0958
-99.9472,91.0982,752.9185,-21.4156,43.5966,799.2291,28.6240,36.8206,781.0803
-99.9071,91.1114,752.9145,-21.3824,43.6388,799.2985,28.6370,36.8588,781.0774
-99.8603,91.1307,752.9421,-21.3251,43.6809,799.3454,28.6185,36.9034,781.0350
-99.8423,91.1344,752.9572,-21.2866,43.7277,799.4045,28.5675,36.9241,780.9832
-99.8503,91.1230,752.9620,-21.2600,43.7517,799.4508,28.5260,36.9642,780.9275
-99.8824,91.1017,752.9358,-21.2426,43.7690,799.5660,28.4878,37.0090,780.8609
-99.9013,91.0889,752.9235,-21.2281,43.7924,799.6360,28.4995,37.0407,780.8239
-99.9131,91.0847,752.9444,-21.2148,43.8230,799.7059,28.5059,37.0427,780.7545
-99.9145,91.0923,752.9596,-21.2002,43.8543,799.7640,28.5099,37.0401,780.7148
-99.9050,91.0966,752.9704,-21.1817,43.8978,799.8199,28.5124,37.0327,780.6982
-99.8872,91.1034,753.0247,-21.2070,43.9243,799.8262,28.5129,37.0195,780.6842
-99.8548,91.1251,753.0864,-21.2293,43.9404,799.8166,28.5162,37.0230,780.6948
-99.8454,91.1341,753.1165,-21.2527,43.9569,799.8120,28.5237,37.0117,780.7297
-99.8575,91.1319,753.1199,-21.2809,43.9620,799.7892,28.5311,37.0159,780.7919
-99.8219,91.1363,753.1811,-21.2683,43.9604,799.7997,28.5416,37.0256,780.8204
-99.8018,91.1440,753.2059,-21.2148,43.9682,799.8657,28.5568,37.0424,780.8198
-99.7959,91.1422,753.2186,-21.2104,43.9624,799.8666,28.5809,37.0258,780.7940
-99.8009,91.1358,753.2005,-21.2035,43.9524,799.8579,28.6191,37.0200,780.8108
-99.8105,91.1217,753.1805,-21.1936,43.9451,799.8608,28.6777,37.0238,780.8727
-99.7968,91.1250,753.1889,-21.1788,43.9243,799.8533,28.7214,37.0058,780.8935
-99.7965,91.1217,753.1819,-21.1573,43.8942,799.8631,28.7488,37.0002,780.8968
-99.7906,91.1162,753.1917,-21.1754,43.8807,799.8308,28.8180,37.0010,780.9593
-99.7773,91.1200,753.2092,-21.1858,43.8798,799.8116,28.8354,37.0042,780.9880
-99.7740,91.1194,753.2144,-21.1904,43.8891,799.7974,28.8028,36.9786,780.9344
-99.7800,91.1203,753.2082,-21.1901,43.9060,799.7909,28.7671,36.9700,780.8695
-99.7964,91.1229,753.1894,-21.1862,43.9301,799.8348,28.7605,36.9732,780.8335
-99.8261,91.1217,753.1550,-21.1765,43.9535,799.8797,28.7450,36.9852,780.7941
-99.8321,91.1262,753.1488,-21.1601,43.9844,799.9553,28.6654,36.9970,780.6930
-99.8557,91.1325,753.0998,-21.1339,44.0169,800.0585,28.5609,37.0126,780.5650
-99.8610,91.1341,753.0700,-21.0930,44.0480,800.1836,28.4236,37.0111,780.3949
-99.8488,91.1413,753.0648,-21.0306,44.0828,800.3514,28.3200,37.0417,780.2699
-99.8144,91.1625,753.0751,-20.9874,44.1099,800.5509,28.2324,37.0865,780.1439
-99.7967,91.1832,753.0504,-20.9541,44.1316,800.7437,28.1012,37.0977,779.9516
-99.7970,91.1924,753.0210,-20.9240,44.1661,800.9169,27.9568,37.0884,779.7123
-99.7937,91.1973,753.0075,-20.8915,44.2020,801.0728,27.8277,37.0573,779.4377
-99.7633,91.2126,753.0062,-20.8010,44.2184,801.2868,27.6958,37.0264,779.1990
-99.7488,91.2142,753.0204,-20.7382,44.2165,801.4830,27.5915,36.9927,778.9982
-99.7446,91.2092,753.0247,-20.6926,44.1960,801.6941,27.4863,36.9631,778.8361
-99.7511,91.2018,753.0276,-20.6544,44.1770,801.8795,27.3753,36.9296,778.6953
-99.7831,91.1926,752.9756,-20.6167,44.1463,802.0427,27.2732,36.8934,778.5450
-99.7978,91.1769,752.9823,-20.5832,44.1285,802.2264,27.1816,36.8479,778.4087
-99.8307,91.1656,752.9688,-20.5469,44.1190,802.4035,27.1171,36.8193,778.3070
-99.8433,91.1540,752.9660,-20.4998,44.1400,802.5374,27.0904,36.8118,778.2833
-99.8417,91.1429,752.9628,-20.4538,44.1724,802.6503,27.0746,36.8236,778.2752
-99.8287,91.1354,752.9799,-20.4238,44.1903,802.7621,27.0879,36.8404,778.3018
-99.8007,91.1360,753.0068,-20.4039,44.1967,802.8680,27.0800,36.8457,778.2892
-99.7916,91.1377,753.0177,-20.3893,44.2014,802.9231,27.0498,36.8502,778.2623
-99.7997,91.1373,753.0139,-20.3791,44.1965,802.9991,26.9925,36.8475,778.2166
-99.7938,91.1540,753.0227,-20.3719,44.1727,803.1089,26.8985,36.8371,778.1446
-99.8214,91.1621,752.9797,-20.3666,44.1262,803.2707,26.8049,36.8087,778.0829
-99.8369,91.1881,752.9306,-20.3601,44.0747,803.4481,26.6936,36.7489,777.9456
-99.8357,91.2102,752.9055,-20.3490,44.0357,803.6036,26.5479,36.6760,777.7877
-99.8500,91.2198,752.8343,-20.3122,44.0130,803.7739,26.4389,36.6259,777.6761
-99.8499,91.2110,752.7773,-20.3133,43.9942,803.8987,26.3504,36.5906,777.5943
-99.8395,91.2156,752.7471,-20.3092,43.9782,804.0468,26.2732,36.5726,777.5104
